Họ Tên,MSSV,Khoa,Ngành,Lớp,Môn học,thoi_gian_tu_hoc,chuyen_can,diem_qua_trinh,hoan_thanh_bai_tap,loai_mon_hoc,tai_lieu_on_tap,hinh_thuc_thi,tre_hoc_phi,ho_tro,tre_hoc,hoc_nhom,lam_them,co_kinh_nghiem
Bùi Hữu Cường,226A010901,Ngoại ngữ,Ngôn ngữ Trung,226A004,Kỹ năng giao tiếp - Nhóm 2,21,44,7.8,20,Đại cương,Không,Tự luận,Không,Không,22,Có,Có,Không
Võ Thành Hưng,226A010902,Kỹ thuật điện,Điện công nghiệp,226A005,Vật lý đại cương - Nhóm 2,72,100,9.3,100,Đại cương,Không,Trắc nghiệm,Có,Không,0,Không,Có,Không
Huỳnh Anh An,226A010903,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,78,100,8.3,100,Chuyên ngành,Không,Tự luận,Không,Không,0,Có,Có,Có
Đặng Gia Dũng,226A010904,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,83,100,8.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Có,Không
Trần Quang Tùng,226A010905,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,90,88,6.3,100,Chuyên ngành,Có,Trắc nghiệm,Có,Có,33,Có,Có,Có
Phạm Quang Phúc,226A010906,Công nghệ thông tin,An toàn thông tin,226A002,Triết học Mác - Lênin - Nhóm 2,12,33,7.3,50,Đại cương,Có,Trắc nghiệm,Không,Không,66,Không,Có,Không
Nguyễn Minh An,226A010907,Cơ khí,Tự động hoá,226A005,Kỹ năng giao tiếp - Nhóm 2,34,58,4.0,95,Đại cương,Có,Trắc nghiệm,Có,Không,0,Có,Không,Có
Hoàng Quang Vinh,226A010908,Ngoại ngữ,Ngôn ngữ Anh,226A003,Ngữ âm học - Nhóm 1,24,50,5.3,30,Chuyên ngành,Có,Trắc nghiệm,Không,Không,8,Có,Có,Có
Bùi Gia Bình,226A010909,Ngoại ngữ,Ngôn ngữ Anh,226A003,Tiếng Anh giao tiếp - Nhóm 1,65,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,25,Có,Không,Không
Trần Minh Dũng,226A010910,Công nghệ thông tin,An toàn thông tin,226A002,Toán cao cấp - Nhóm 2,80,100,8.5,100,Đại cương,Có,Tự luận,Không,Không,0,Không,Có,Có
Phạm Gia Vinh,226A010911,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,14,25,7.8,25,Chuyên ngành,Không,Trắc nghiệm,Không,Không,66,Có,Có,Không
Trần Đức Sơn,226A010912,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,81,75,4.3,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Có,Có
Phạm Gia Long,226A010913,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,12,16,3.8,20,Chuyên ngành,Có,Tự luận,Không,Không,25,Không,Có,Không
Trần Đức Dũng,226A010914,Ngoại ngữ,Ngôn ngữ Anh,226A003,Toán cao cấp - Nhóm 2,82,100,8.8,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Có,Có
Đặng Thái An,226A010915,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,73,100,8.5,100,Chuyên ngành,Có,Tự luận,Không,Không,8,Không,Có,Không
Đỗ Gia Vinh,226A010916,Ngoại ngữ,Ngôn ngữ Anh,226A003,Vật lý đại cương - Nhóm 2,28,16,1.8,45,Đại cương,Có,Trắc nghiệm,Có,Có,33,Không,Không,Có
Bùi Văn Sơn,226A010917,Kỹ thuật điện,Điện công nghiệp,226A005,Pháp luật đại cương - Nhóm 2,82,100,9.3,100,Đại cương,Không,Tự luận,Không,Không,16,Không,Không,Có
Hoàng Hữu Hải,226A010918,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,19,0,3.5,70,Chuyên ngành,Có,Tự luận,Không,Không,33,Không,Có,Có
Hoàng Thái Phúc,226A010919,Kỹ thuật điện,Điện công nghiệp,226A005,Pháp luật đại cương - Nhóm 2,85,100,9.5,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Không,Có,Có
Trần Gia Hải,226A010920,Công nghệ thông tin,An toàn thông tin,226A002,Kỹ năng giao tiếp - Nhóm 2,63,100,9.3,100,Đại cương,Có,Tự luận,Không,Không,16,Có,Có,Không
Bùi Quang Hưng,226A010921,Công nghệ thông tin,An toàn thông tin,226A002,Mật mã học - Nhóm 1,88,100,8.5,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,11,Không,Không,Có
Đỗ Minh Dũng,226A010922,Công nghệ thông tin,Công nghệ phần mềm,226A001,Pháp luật đại cương - Nhóm 2,88,100,8.8,100,Đại cương,Có,Trắc nghiệm,Không,Không,25,Có,Không,Có
Đỗ Thành Cường,226A010923,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,83,100,9.0,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Không,Có,Có
Hoàng Minh Dũng,226A010924,Công nghệ thông tin,An toàn thông tin,226A002,Mật mã học - Nhóm 1,13,44,7.3,45,Chuyên ngành,Không,Tự luận,Không,Không,66,Không,Không,Không
Hoàng Gia Hải,226A010925,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,61,100,6.8,100,Chuyên ngành,Không,Tự luận,Không,Không,16,Có,Có,Không
Huỳnh Minh Khang,226A010926,Cơ khí,Tự động hoá,226A005,Lập trình PLC - Nhóm 1,77,100,8.5,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,0,Không,Có,Có
Bùi Văn Dũng,226A010927,Kỹ thuật điện,Điện dân dụng,226A005,Vật lý đại cương - Nhóm 2,88,100,8.8,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Có,Có
Đỗ Đức Long,226A010928,Công nghệ thông tin,An toàn thông tin,226A002,Triết học Mác - Lênin - Nhóm 2,85,100,9.0,100,Đại cương,Có,Tự luận,Không,Không,16,Có,Có,Không
Võ Quang Vinh,226A010929,Cơ khí,Chế tạo máy,226A005,Toán cao cấp - Nhóm 2,80,100,8.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,16,Có,Không,Có
Trần Quang Phúc,226A010930,Công nghệ thông tin,Công nghệ phần mềm,226A001,Vật lý đại cương - Nhóm 2,28,25,8.5,65,Đại cương,Không,Tự luận,Không,Không,33,Không,Không,Có
Phạm Anh Tùng,226A010931,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,13,91,2.0,20,Chuyên ngành,Không,Trắc nghiệm,Có,Không,0,Không,Không,Không
Đỗ Đức Vinh,226A010932,Kỹ thuật điện,Điện công nghiệp,226A005,Vật lý đại cương - Nhóm 2,34,100,7.8,45,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Có,Có
Huỳnh Minh Hưng,226A010933,Cơ khí,Chế tạo máy,226A005,Toán cao cấp - Nhóm 2,88,33,9.0,100,Đại cương,Có,Trắc nghiệm,Có,Không,33,Có,Không,Không
Phạm Hữu Khang,226A010934,Cơ khí,Chế tạo máy,226A005,Triết học Mác - Lênin - Nhóm 2,73,66,7.5,100,Đại cương,Không,Tự luận,Không,Không,22,Có,Có,Có
Đặng Quang Nam,226A010935,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,90,100,10.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,8,Có,Không,Có
Trần Minh Long,226A010936,Ngoại ngữ,Ngôn ngữ Anh,226A003,Pháp luật đại cương - Nhóm 2,86,100,9.3,100,Đại cương,Không,Trắc nghiệm,Không,Không,11,Có,Không,Có
Hoàng Minh Hưng,226A010937,Ngoại ngữ,Ngôn ngữ Anh,226A003,Tiếng Anh giao tiếp - Nhóm 1,76,100,9.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Có,Có
Bùi Thái Hải,226A010938,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,73,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,22,Có,Không,Có
Huỳnh Đức Nam,226A010939,Cơ khí,Tự động hoá,226A005,Toán cao cấp - Nhóm 2,79,100,9.5,100,Đại cương,Có,Tự luận,Không,Không,11,Có,Không,Không
Đỗ Minh Bình,226A010940,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,5,33,7.0,65,Chuyên ngành,Không,Tự luận,Không,Không,33,Không,Không,Có
Đặng Văn Nam,226A010941,Công nghệ thông tin,Công nghệ phần mềm,226A001,Toán cao cấp - Nhóm 2,61,100,8.0,100,Đại cương,Có,Tự luận,Không,Không,8,Có,Có,Có
Lê Thành Quân,226A010942,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,61,100,9.8,100,Chuyên ngành,Có,Tự luận,Không,Không,8,Có,Có,Có
Đặng Ngọc Dũng,226A010943,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,85,100,10.0,100,Chuyên ngành,Có,Tự luận,Không,Không,11,Có,Có,Có
Hoàng Ngọc Bình,226A010944,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,76,100,8.5,100,Chuyên ngành,Không,Tự luận,Không,Không,0,Không,Không,Không
Lê Hữu Sơn,226A010945,Cơ khí,Tự động hoá,226A005,Vật lý đại cương - Nhóm 2,14,100,1.3,20,Đại cương,Có,Tự luận,Không,Không,44,Có,Có,Có
Huỳnh Thành Sơn,226A010946,Ngoại ngữ,Ngôn ngữ Anh,226A003,Vật lý đại cương - Nhóm 2,16,0,1.5,65,Đại cương,Có,Tự luận,Không,Không,25,Có,Có,Có
Trần Gia Sơn,226A010947,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,7,0,4.8,60,Chuyên ngành,Có,Tự luận,Có,Không,16,Không,Không,Không
Bùi Thành Quân,226A010948,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,32,83,9.5,95,Chuyên ngành,Không,Tự luận,Không,Không,83,Không,Không,Không
Bùi Đức Hải,226A010949,Kỹ thuật điện,Điện dân dụng,226A005,Kỹ năng giao tiếp - Nhóm 2,85,75,8.8,100,Đại cương,Có,Tự luận,Có,Có,66,Có,Không,Có
Trần Thành Quân,226A010950,Ngoại ngữ,Ngôn ngữ Trung,226A004,Triết học Mác - Lênin - Nhóm 2,88,55,3.3,100,Đại cương,Không,Trắc nghiệm,Có,Không,22,Không,Không,Có
Phạm Minh Khang,226A010951,Cơ khí,Tự động hoá,226A005,Pháp luật đại cương - Nhóm 2,76,100,8.5,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Không
Đặng Văn Vinh,226A010952,Công nghệ thông tin,Công nghệ phần mềm,226A001,Toán cao cấp - Nhóm 2,15,33,7.3,50,Đại cương,Không,Tự luận,Không,Không,100,Không,Có,Có
Đặng Văn Nam,226A010953,Kỹ thuật điện,Điện công nghiệp,226A005,Toán cao cấp - Nhóm 2,54,25,3.5,30,Đại cương,Có,Tự luận,Không,Không,75,Có,Có,Không
Nguyễn Hữu Hải,226A010954,Ngoại ngữ,Ngôn ngữ Trung,226A004,Pháp luật đại cương - Nhóm 2,73,100,8.0,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Không
Đỗ Hữu Sơn,226A010955,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,70,100,9.5,100,Chuyên ngành,Có,Tự luận,Có,Có,22,Không,Không,Không
Huỳnh Quang Dũng,226A010956,Ngoại ngữ,Ngôn ngữ Anh,226A003,Toán cao cấp - Nhóm 2,11,16,7.5,25,Đại cương,Không,Trắc nghiệm,Không,Không,50,Không,Không,Có
Nguyễn Quang Dũng,226A010957,Cơ khí,Tự động hoá,226A005,Kỹ năng giao tiếp - Nhóm 2,6,33,8.8,55,Đại cương,Không,Tự luận,Không,Không,100,Không,Có,Có
Hoàng Gia Phúc,226A010958,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,77,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,22,Có,Không,Có
Phạm Ngọc Dũng,226A010959,Công nghệ thông tin,Công nghệ phần mềm,226A001,Pháp luật đại cương - Nhóm 2,72,0,7.5,100,Đại cương,Không,Trắc nghiệm,Có,Có,44,Có,Không,Có
Phạm Quang An,226A010960,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,80,100,8.3,100,Chuyên ngành,Không,Tự luận,Có,Không,0,Có,Có,Không
Nguyễn Đức Long,226A010961,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,71,100,7.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Không,Không
Huỳnh Quang Phúc,226A010962,Công nghệ thông tin,An toàn thông tin,226A002,Pháp luật đại cương - Nhóm 3,52,22,9.0,50,Đại cương,Không,Tự luận,Không,Không,44,Có,Không,Không
Lê Anh An,226A010963,Công nghệ thông tin,Công nghệ phần mềm,226A001,Vật lý đại cương - Nhóm 2,13,44,3.3,35,Đại cương,Có,Tự luận,Có,Không,11,Không,Không,Không
Phạm Văn An,226A010964,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,86,100,7.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Có,Không
Đỗ Đức Nam,226A010965,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,80,100,8.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Không,Có,Không
Phạm Minh Tùng,226A010966,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,26,33,7.0,65,Chuyên ngành,Không,Trắc nghiệm,Không,Không,58,Không,Không,Có
Lê Gia Long,226A010967,Ngoại ngữ,Ngôn ngữ Anh,226A003,Toán cao cấp - Nhóm 2,93,25,1.5,100,Đại cương,Không,Trắc nghiệm,Không,Không,75,Có,Không,Có
Võ Ngọc Nam,226A010968,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,76,100,9.8,100,Chuyên ngành,Có,Trắc nghiệm,Có,Không,22,Có,Không,Không
Hoàng Minh Nam,226A010969,Công nghệ thông tin,An toàn thông tin,226A002,Triết học Mác - Lênin - Nhóm 2,89,100,9.0,100,Đại cương,Có,Tự luận,Không,Không,8,Không,Có,Có
Hoàng Thành Khang,226A010970,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,28,55,2.3,35,Chuyên ngành,Có,Trắc nghiệm,Không,Không,11,Có,Không,Có
Phạm Hữu Bình,226A010971,Kỹ thuật điện,Điện công nghiệp,226A005,Toán cao cấp - Nhóm 2,78,100,9.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Không
Đặng Gia Hưng,226A010972,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,81,100,8.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,25,Có,Có,Có
Lê Gia An,226A010973,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,73,100,5.0,100,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Không,Có
Phạm Ngọc Long,226A010974,Kỹ thuật điện,Điện dân dụng,226A005,Pháp luật đại cương - Nhóm 3,2,22,8.5,25,Đại cương,Không,Tự luận,Không,Không,77,Không,Không,Có
Nguyễn Minh Sơn,226A010975,Kỹ thuật điện,Điện công nghiệp,226A005,Toán cao cấp - Nhóm 2,75,100,9.0,100,Đại cương,Có,Tự luận,Không,Không,16,Không,Có,Không
Đặng Ngọc Khang,226A010976,Công nghệ thông tin,An toàn thông tin,226A002,Pháp luật đại cương - Nhóm 3,71,0,8.3,100,Đại cương,Không,Trắc nghiệm,Không,Không,83,Có,Có,Có
Bùi Hữu Long,226A010977,Ngoại ngữ,Ngôn ngữ Anh,226A003,Kỹ năng giao tiếp - Nhóm 3,3,83,8.0,60,Đại cương,Không,Tự luận,Có,Không,100,Có,Không,Không
Phạm Hữu Nam,226A010978,Ngoại ngữ,Ngôn ngữ Anh,226A003,Triết học Mác - Lênin - Nhóm 2,30,33,7.5,50,Đại cương,Có,Trắc nghiệm,Không,Không,55,Có,Có,Không
Lê Văn Vinh,226A010979,Ngoại ngữ,Ngôn ngữ Trung,226A004,Vật lý đại cương - Nhóm 3,37,100,8.3,80,Đại cương,Có,Tự luận,Không,Không,16,Có,Không,Không
Nguyễn Ngọc Sơn,226A010980,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,72,100,8.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Không,Có,Có
Trần Gia Phúc,226A010981,Ngoại ngữ,Ngôn ngữ Anh,226A003,Ngữ âm học - Nhóm 1,23,33,1.0,35,Chuyên ngành,Không,Trắc nghiệm,Không,Không,100,Không,Có,Không
Đỗ Minh Dũng,226A010982,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,82,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Có
Đỗ Hữu Sơn,226A010983,Kỹ thuật điện,Điện dân dụng,226A005,Kỹ năng giao tiếp - Nhóm 3,61,16,2.3,100,Đại cương,Có,Tự luận,Có,Không,100,Không,Không,Có
Đặng Thái Tùng,226A010984,Cơ khí,Tự động hoá,226A005,Kỹ năng giao tiếp - Nhóm 3,8,33,6.3,65,Đại cương,Không,Tự luận,Không,Không,55,Không,Không,Không
Đỗ Quang Cường,226A010985,Công nghệ thông tin,Công nghệ phần mềm,226A001,Toán cao cấp - Nhóm 2,37,66,5.8,80,Đại cương,Có,Tự luận,Không,Không,0,Có,Không,Không
Đặng Văn Cường,226A010986,Cơ khí,Tự động hoá,226A005,Lập trình PLC - Nhóm 1,68,100,8.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Không,Có
Bùi Minh Khang,226A010987,Kỹ thuật điện,Điện dân dụng,226A005,Triết học Mác - Lênin - Nhóm 2,82,77,6.0,100,Đại cương,Có,Tự luận,Không,Không,33,Có,Không,Không
Lê Ngọc Tùng,226A010988,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,84,100,8.3,100,Chuyên ngành,Không,Tự luận,Không,Không,8,Có,Không,Có
Bùi Văn Hải,226A010989,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,82,100,9.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Không,Có,Có
Hoàng Ngọc Hưng,226A010990,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,31,77,2.5,20,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Có,Có,Không
Phạm Anh An,226A010991,Công nghệ thông tin,An toàn thông tin,226A002,Triết học Mác - Lênin - Nhóm 2,84,100,9.5,100,Đại cương,Có,Tự luận,Có,Không,0,Có,Có,Không
Đỗ Văn Dũng,226A010992,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,64,100,7.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Không,Có,Có
Hoàng Quang Cường,226A010993,Công nghệ thông tin,An toàn thông tin,226A002,Toán cao cấp - Nhóm 2,86,55,6.0,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Có
Phạm Ngọc Tùng,226A010994,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,7,11,8.0,50,Chuyên ngành,Không,Tự luận,Không,Không,88,Có,Không,Không
Trần Văn Hưng,226A010995,Công nghệ thông tin,An toàn thông tin,226A002,Pháp luật đại cương - Nhóm 3,78,100,9.5,100,Đại cương,Có,Trắc nghiệm,Không,Không,8,Có,Có,Không
Bùi Gia Long,226A010996,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,73,100,5.3,100,Chuyên ngành,Không,Tự luận,Không,Không,0,Có,Không,Có
Nguyễn Quang Bình,226A010997,Cơ khí,Chế tạo máy,226A005,Kỹ năng giao tiếp - Nhóm 3,67,100,9.5,100,Đại cương,Có,Tự luận,Không,Không,16,Có,Không,Có
Nguyễn Văn Vinh,226A010998,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,20,25,3.3,35,Chuyên ngành,Không,Trắc nghiệm,Không,Không,33,Không,Không,Có
Phạm Gia Vinh,226A010999,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,85,100,9.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Không,Không
Bùi Ngọc Dũng,226A011000,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,69,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Có
Huỳnh Đức Sơn,226A011001,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kỹ năng giao tiếp - Nhóm 3,65,100,8.0,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Có,Có
Lê Hữu Sơn,226A011002,Công nghệ thông tin,An toàn thông tin,226A002,Toán cao cấp - Nhóm 2,88,100,7.5,100,Đại cương,Có,Trắc nghiệm,Không,Không,8,Có,Không,Có
Lê Văn Hưng,226A011003,Cơ khí,Tự động hoá,226A005,Kỹ năng giao tiếp - Nhóm 3,25,0,4.3,30,Đại cương,Có,Trắc nghiệm,Có,Có,11,Có,Không,Không
Đỗ Quang An,226A011004,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,84,100,9.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,8,Có,Không,Không
Bùi Ngọc Nam,226A011005,Công nghệ thông tin,An toàn thông tin,226A002,Triết học Mác - Lênin - Nhóm 2,29,75,4.3,40,Đại cương,Có,Tự luận,Không,Không,16,Có,Có,Có
Lê Quang Quân,226A011006,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,69,100,9.0,100,Chuyên ngành,Không,Tự luận,Có,Có,0,Có,Không,Có
Lê Anh Bình,226A011007,Công nghệ thông tin,An toàn thông tin,226A002,An ninh mạng - Nhóm 1,82,100,8.0,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Không,Không,Không
Võ Ngọc Hưng,226A011008,Ngoại ngữ,Ngôn ngữ Trung,226A004,Pháp luật đại cương - Nhóm 3,84,100,9.3,100,Đại cương,Có,Tự luận,Không,Không,11,Có,Không,Có
Trần Minh Sơn,226A011009,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,90,100,9.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,11,Có,Có,Có
Huỳnh Anh Nam,226A011010,Công nghệ thông tin,An toàn thông tin,226A002,Toán cao cấp - Nhóm 2,16,11,2.3,40,Đại cương,Không,Tự luận,Không,Không,55,Không,Không,Có
Nguyễn Thành Khang,226A011011,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,100,88,5.8,100,Chuyên ngành,Không,Tự luận,Có,Có,11,Có,Không,Không
Huỳnh Hữu Dũng,226A011012,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,37,100,7.3,75,Chuyên ngành,Có,Tự luận,Có,Có,66,Có,Có,Có
Huỳnh Anh Khang,226A011013,Kỹ thuật điện,Điện công nghiệp,226A005,Pháp luật đại cương - Nhóm 3,40,100,9.8,65,Đại cương,Có,Tự luận,Có,Không,0,Có,Có,Có
Đặng Gia Hải,226A011014,Cơ khí,Chế tạo máy,226A005,Pháp luật đại cương - Nhóm 3,85,100,8.8,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Có,Có
Huỳnh Ngọc Bình,226A011015,Cơ khí,Chế tạo máy,226A005,Kỹ năng giao tiếp - Nhóm 3,35,66,9.3,60,Đại cương,Có,Tự luận,Có,Có,100,Không,Có,Không
Đặng Gia An,226A011016,Cơ khí,Tự động hoá,226A005,Triết học Mác - Lênin - Nhóm 2,25,16,8.5,25,Đại cương,Không,Tự luận,Không,Không,33,Có,Không,Không
Đặng Hữu Dũng,226A011017,Kỹ thuật điện,Điện công nghiệp,226A005,Toán cao cấp - Nhóm 2,64,100,9.0,100,Đại cương,Không,Trắc nghiệm,Không,Không,11,Không,Có,Có
Bùi Đức Tùng,226A011018,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,7,0,7.3,20,Chuyên ngành,Không,Tự luận,Không,Không,50,Không,Có,Không
Hoàng Ngọc Quân,226A011019,Cơ khí,Chế tạo máy,226A005,Toán cao cấp - Nhóm 2,26,8,7.8,30,Đại cương,Không,Tự luận,Không,Không,33,Có,Không,Có
Hoàng Thái Phúc,226A011020,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kỹ năng giao tiếp - Nhóm 3,78,66,7.3,100,Đại cương,Không,Tự luận,Không,Không,83,Có,Có,Có
Trần Đức Quân,226A011021,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,65,33,6.5,100,Chuyên ngành,Có,Tự luận,Có,Có,33,Có,Không,Có
Võ Anh An,226A011022,Ngoại ngữ,Ngôn ngữ Anh,226A003,Tiếng Anh giao tiếp - Nhóm 1,71,100,8.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Không,Không
Lê Ngọc Hưng,226A011023,Công nghệ thông tin,An toàn thông tin,226A002,An ninh mạng - Nhóm 1,84,16,5.0,100,Chuyên ngành,Có,Trắc nghiệm,Có,Không,100,Không,Có,Có
Nguyễn Văn Hải,226A011024,Cơ khí,Tự động hoá,226A005,Toán cao cấp - Nhóm 2,64,100,9.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,16,Không,Có,Có
Nguyễn Ngọc Hải,226A011025,Kỹ thuật điện,Điện dân dụng,226A005,Toán cao cấp - Nhóm 2,11,44,7.0,35,Đại cương,Không,Trắc nghiệm,Không,Không,88,Không,Không,Không
Phạm Hữu Quân,226A011026,Ngoại ngữ,Ngôn ngữ Trung,226A004,Vật lý đại cương - Nhóm 3,75,100,8.5,100,Đại cương,Có,Tự luận,Không,Không,16,Có,Có,Có
Bùi Ngọc Phúc,226A011027,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,25,33,5.5,65,Chuyên ngành,Không,Tự luận,Có,Không,25,Không,Có,Có
Nguyễn Thành Hưng,226A011028,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,80,100,9.8,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Không
Lê Hữu Vinh,226A011029,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,100,77,6.3,100,Chuyên ngành,Không,Tự luận,Có,Không,77,Không,Không,Không
Bùi Đức Long,226A011030,Công nghệ thông tin,Công nghệ phần mềm,226A001,Vật lý đại cương - Nhóm 3,86,100,8.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Có,Không
Bùi Gia Vinh,226A011031,Kỹ thuật điện,Điện dân dụng,226A005,Triết học Mác - Lênin - Nhóm 2,9,22,9.3,50,Đại cương,Có,Trắc nghiệm,Có,Có,33,Có,Không,Có
